,civil_true,civil
2014-06-28 11:00:00,177.05975,208.18959185861644
2014-06-28 12:00:00,178.18606,225.253413896089
2014-06-28 13:00:00,183.68398,218.35281082508686
2014-06-28 14:00:00,186.68111000000002,226.11014199976879
2014-06-28 15:00:00,178.6824,230.89269121078846
2014-06-28 16:00:00,182.65312,223.09240861910914
2014-06-28 17:00:00,184.86756,202.24998487955227
2014-06-28 18:00:00,168.22108,208.8521895123266
2014-06-28 19:00:00,151.5746,157.29810471590247
2014-06-28 20:00:00,147.92841,146.64249060652048
2014-06-28 21:00:00,138.07797,145.1117709444298
2014-06-28 22:00:00,133.97361999999998,136.80833471135122
2014-06-28 23:00:00,134.90903,146.59038142303694
2014-06-29 00:00:00,139.10882999999998,97.8784758477444
2014-06-29 01:00:00,138.57431,107.46492643697158
2014-06-29 02:00:00,137.06619999999998,101.34355874764228
2014-06-29 03:00:00,132.61822999999998,107.60818992866962
2014-06-29 04:00:00,131.62554999999998,111.30493080850027
2014-06-29 05:00:00,127.73118999999998,108.31420601777683
2014-06-29 06:00:00,113.03188999999999,112.50791301842091
2014-06-29 07:00:00,101.5588,111.42524115840237
2014-06-29 08:00:00,101.23427,113.91506431625746
2014-06-29 09:00:00,100.01251,116.35013303689882
2014-06-29 10:00:00,103.39144,118.5705132978357
2014-06-29 11:00:00,103.86869,125.02941602977589
2014-06-29 12:00:00,109.02299,120.48635020633671
2014-06-29 13:00:00,113.54732,128.5460052223071
2014-06-29 14:00:00,120.32426999999998,127.64456758161842
2014-06-29 15:00:00,129.16294,128.94576767954047
2014-06-29 16:00:00,135.34810000000002,130.23656146654412
2014-06-29 17:00:00,139.33791000000002,127.99987023914633
2014-06-29 18:00:00,136.32169,134.5735391759737
2014-06-29 19:00:00,134.71813,135.18918291089182
2014-06-29 20:00:00,129.50656,136.66134261727586
2014-06-29 21:00:00,127.59756000000002,134.0186994737902
2014-06-29 22:00:00,127.23485,137.23859435681507
2014-06-29 23:00:00,128.62842,136.55002678017004
2014-06-30 00:00:00,131.28193000000002,134.55033812440462
2014-06-30 01:00:00,129.62109999999998,135.1301765104633
2014-06-30 02:00:00,126.43307,131.35709640845488
2014-06-30 03:00:00,121.46967,138.00409709671374
2014-06-30 04:00:00,130.40379,136.53350396965496
2014-06-30 05:00:00,148.31020999999996,136.75983437556982
2014-06-30 06:00:00,144.18677,139.86612969094682
