,,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-22,2,97.751219,97.2362145,97.0710285,103.3869895,95.8692785,100.1531895,111.138277,136.1838395,184.1625065,374.4615855,301.6241735,298.219725,310.2890095,319.8440145,328.4568475000001,333.2634105,294.493863,262.48405,222.15189975,181.8197495,147.1197645,113.32284,99.52675,101.658436
2017-03-23,2,106.3157635,104.7307645,95.8631605,96.5946985,103.5325105,93.98996,104.0315645,134.5769905,176.234234,323.0559645,306.2017485,321.3625895,319.51255,308.2543375,323.2561105,330.2249495000001,308.197309,264.2357645,231.227188,185.9397855,152.485906,119.116149,112.309,103.2191815
2017-03-24,2,105.4963885,97.516113,103.7064365,95.8085355,96.9399285,96.7336645,110.196542,137.80926100000002,169.5123,300.5563640000001,278.7113895,280.037466,276.239936,280.53215,282.6920225,287.84316,280.6486105,249.9904385,196.3513105,186.2504925,156.2972015,121.2310105,112.251316,110.8522605
2017-03-25,0,105.6414725,103.511753,106.4713355,100.062075,103.949627,102.924425,104.848099,108.3323,112.617085,113.2229855,108.2486145,99.9040995,105.502725,110.8072495,116.6516875,107.7058605,109.0885285,110.2623105,115.0072565,112.5430135,111.3913,100.1619295,100.2187395,102.377301
2017-03-26,0,99.789824,98.87878825,97.9677525,98.2994355,98.337236,103.208475,98.7801355,98.631337,95.7722645,99.073581,101.3877145,99.432358,99.266735,97.8187355,95.693823,99.9928105,103.47723,104.7312015,108.185031,105.9998125,106.385028,99.917428,100.147727,98.688147
2017-03-27,2,98.092953,98.598125,97.4127625,96.2311145,96.4459,96.448522,105.090197,129.734375,154.053425,197.3655875,240.382775,277.6188895,275.799003,263.9917,278.095875,277.9256635,258.0048,251.4661875,228.2287125,178.3670125,143.901478,120.068372,96.071828,103.077375
2017-03-28,2,101.6617135,104.169875,98.7255105,96.7681875,100.355302,100.18225,103.569,127.9498855,165.349875,207.7661875,269.355875,398.2981875,305.026,309.5780105,307.921125,324.3359375,294.0736875,258.9952605,228.87875,192.871698,154.861875,137.272625,121.9503125,114.503177
2017-03-29,2,115.7868645,111.644323,110.497198,111.5261145,112.7641355,114.7944375,117.999177,140.0311875,171.1036355,221.941375,243.682125,359.987927,295.0569375,332.165448,311.9360625,297.92475,311.90875,245.92175,226.092875,195.7486875,145.584802,128.086448,123.12475,112.2270625
2017-03-30,2,118.3450625,113.7565625,111.271125,111.7354375,112.536677,109.149927,122.797,137.9554375,185.288,214.80603900000003,242.2546645,378.3425825,303.4652545,310.2846395,318.6973265000001,303.638525,322.9917255,255.360513,214.949375,172.0073515,151.5666765,117.7642895,104.186044,108.70375
2017-03-31,2,100.461056,96.2534015,96.6644,99.4767135,95.643131,95.080275,104.137537,131.7482895,159.997062,197.5530605,227.5225205,378.8097355,291.832533,293.966841,300.5648855,299.5868795,283.470975,235.52180550000003,197.000037,173.9616155,148.4670355,110.5708325,105.014159,100.139861
