,,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,1,79.0518809,78.1987488,78.7819483,76.9710709,74.86907099999998,78.3495598,79.2618709,88.21584449999996,92.3933092,94.3811509,97.5352007,97.647259,93.4507043,92.8592961,92.3429116,90.1857416,86.6670728,89.2772485,85.0089154,81.7483434,78.6843984,74.38647579999999,74.9414221,71.3956455
2017-02-12,1,70.16548590000001,70.8309633,70.8628436,71.1772559,70.3308053,69.6901449,69.3932954,70.28976180000001,68.20207940000002,68.1658084,69.58305,70.86208,71.871941,71.887213,72.65424920000002,74.5225875,76.9762252,77.7079449,79.26568890000001,77.5752694,76.15898229999998,72.8371314,74.0814176,75.2667157
2017-02-13,0,71.6888679,66.8405806,66.7491395,65.49416289999999,79.3332675,86.2415567,93.3752988,154.86514330000003,256.4676594,289.3289945,314.1427492,327.1766376,327.2535703000001,315.5777445,312.8095036,312.9561148,304.2829551000001,270.52572630000003,224.3193358,150.48647,111.29603629999998,98.1878878,94.8986808,89.4681485
2017-02-14,0,80.8610402,73.2282855,74.67358940000003,74.6243372,73.406777,81.7036728,101.1783363,168.3522283,260.0945685,288.7238415,323.2996495,329.8849359,323.3343933000001,315.81789669999995,320.4195412,332.0424877,326.0213108,282.1780714,236.9162541,155.47392340000005,121.0521717,97.9624349,96.0146822,95.3348873
2017-02-15,0,94.0898375,82.0358388,75.5927729,75.9612099,75.4751785,77.05907579999999,102.3294633,175.0539637,275.1703233,316.672556,354.9478151,361.5520006,344.9574454,322.6215727,328.4774302,327.498495,325.6087759,297.2837975,217.7819653,152.1847164,116.2285105,93.1626362,91.5775935,92.4381707
2017-02-16,0,86.69265340000004,72.3285738,66.60386460000001,66.1199331,64.95009789999999,73.1576525,88.7329926,169.09139309999995,274.46475689999994,304.7159163,335.4733425,342.9810577,330.5950839,319.518875,318.9209762,305.53869530000014,295.0724119,261.1252376,245.5720419,188.2321725,126.4746862,103.8461638,98.6882367,93.0857035
2017-02-17,0,86.3677416,81.60707740000002,79.5104227,79.60835440000002,81.04105890000002,94.9530873,106.16540790000002,157.9168707,269.5706536,297.5733928,333.1048462,347.43800000000016,335.2593436,306.2929412,299.2554127,294.6951935,284.826618,250.8072835,212.3350156,144.331854,118.3623907,99.0753819,99.2055757,99.6566724
2017-02-18,1,90.7210252,83.97958259999999,78.09241750000002,75.628853,75.2615614,74.6852343,78.60326590000003,83.0010292,92.6727868,98.3024278,109.841951,110.7227636,116.22373799999998,113.1853736,107.4452015,110.3703622,107.6763814,103.0407567,101.3493827,102.5440349,103.8461638,95.7968653,86.22151219999998,84.57175440000002
2017-02-19,1,82.77233100000002,77.6768282,76.6793757,76.9760343,76.9844339,74.49567059999998,73.4814189,75.3554842,77.48211020000002,80.42922440000002,81.7817509,83.2241913,83.80166379999999,80.888148,81.7130269,81.869374,82.2727457,83.4486897,82.8359007,84.3861996,86.0802462,85.280757,83.7012504,84.8057978
2017-02-20,0,76.682621,69.7065623,68.82040450000001,67.68817659999999,71.0839058,85.95635209999998,100.125141,180.1403033,281.3291391,312.22496780000006,347.91830439999984,370.0663315,372.6913974,366.1830437,365.7084663,363.7143249,356.8247439,280.5451128,243.1693745,188.46354330000003,133.9848831,107.7380421,96.5822279,90.1614973
